"film world full of geek culture adaptations daley and goldsteins 2023 adaptation is functional and rewarding film that dungeons dragons fans have long awaited",fresh
"takes its fantasy world seriously but not itself",fresh
"its popcorn japery fine form swords against sorcery sorcery against monsters monsters against swords and around and around while charismatic cast slambangs the consistently amusing setuponeliner dialogue",fresh
"dungeons dragons honor among thieves is great representation of how players imagine games their private spaces playing out",fresh
"just like game the movie leaves you wanting more adventures whether its from this same cast or others this world its about time we got to see the magic of dd the big screen",fresh
"goldstein and daley keep jokes and the action running tandem and add just enough emotional weight like edgins concern for his daughter to make it all not seem too frivolous",fresh
"if you didnt know how to play dungeons and dragons before seeing movie subtitled honor among thieves you wont after seeing it either but you can say you were entertained",fresh
"ultimately bighearted crowdpleaser",fresh
"dungeons dragons honor among thieves builds towards typically exhausting climax that ensures it finishes just about as underwhelming and interminable a note as one could possibly envision",rotten
"story of motley crew who dares to defeat a dangerous big bad is entertaining and likable and worth watching not only for rpg fans",fresh
"honour among thieves odd moments of sincerity largely crumble in face of amusement and outlandishness it is by tapping into the very soul of dungeons and dragons that this film manages to stand proud as worthy namesake",fresh
"brings game to life with scent of guardians of the galaxy",fresh
"its all good fun never makes mistake of taking itself too seriously and hugh grant does fine line oily baddies",fresh
"if you are looking for fun movie to go watch this weekend that has great action but isnt too violent and contains a lot of fun then dungeons dragons honor among thieves is definitely a mustsee",fresh
"its as though dungeons dragons honor among thieves made smoothie with spaceballs and avengers to a sidesplitting effect",fresh
"bigbudget crowdpleaser it is wellcast wellcrafted and just plain fun oldschool spectacle that makes a compelling case for sitting dark with a hundred or more strangers and just enjoying the show",fresh
"itll leave you wanting more we deserve more",fresh
"dungeons and dragons honor among thieves is crowd pleasing infinitely enjoyable and super fun movie that never feels distant heavy or inaccessible chris pine provides a much needed wink and charm while michelle rodriguez kicks much ass this one",fresh
"silly swaggering swashbuckling screen adaptation of popular improvisational roleplaying fantasy game if youve never played dd learn bit about it before you go",fresh
"dungeons dragons honor among thieves uses cgi many creative and funny ways effects lend themselves to the comedy",fresh
"dungeons and dragons honor among thieves is lot of fun a lot of fun its energetic campy and full of action has chris pine ever been this enjoyable to watch hes great and no you dont need to know a thing about dd to enjoy this movie",fresh
"thirdtier lord of rings knockoff the material just doesnt lend itself to a movie",rotten
"dungeon dragons honor among thieves is fine film that delivers what trailers promised this fantasy action comedy is entertaining and left me content",fresh
"pine is gem surrounding cast are all strong and the world is wellbuilt but the number one thing this writerdirector team gets right is the understanding that both the game and popcorn movies are supposed to be fun theres a lot of fun here",fresh
"if youre roleplayer who knows their waterdeep from their baldurs gate add another star to rating everyone else this is solid threestar fun and a welcome bigbudget addition to the genre of cinematic fantasy",fresh
"dungeons dragons honor among thieves proves itself to be cut above most knuckleheaded thudand blunder sword and sorcery romps",fresh
"mostly dungeons dragons honour among thieves is enough of romp a romp with clear franchisestarting ambitions even though theres already been three dd movies dating back to 2000 but a romp nonetheless",fresh
"its fun enough and it does fact have some dragons in it and now that i think about it i think i saw some dungeons as well but dont quote me which is stupid thing to say within actual quote rt heyits late i have to go to bed",fresh
"source material is something that was built imagination and creativity which i didnt sense much of honor among thieves and i found the experience bit mundane because of that",rotten
"entertaining for longtime tabletop players and those whove never rolled d20",fresh
"action adventure with solid script stunning scenes a championship cast and endearing performances but above all with a powerful moral that gives best level of entertainment for the whole family dont miss it",fresh
"though it may struggle with pacing and arbitrary villain trio of endlessly charming and deliciously ridiculous performances from grant pine and page make honor among thieves a worthy holder of dungeons dragons name",fresh
"main reason this story is compelling is that the characters are complex and captivating edgin and simon particular are flawed and are not naturally heroic they just stubbornly keep trying to succeed and to be better",fresh
"even more of theme park movie than jungle ride which was actually based onethe cinematic equivalent of a milehigh rollercoaster ride with no other objective but to provide multiple jolts before screeching to explosive halt",rotten
"only question is why it took so long to create lowstakes but also highly amusing version of this longrunning fan favorite chris pine was perfectly cast",fresh
"dungeons and dragons honour among thieves is lot more fun than anticipated and while jokes often make the film soar the comedown comes hard and fast with a narrative that holds no surprises",fresh
"good oldfashioned high fantasy fun",fresh
"cinematic campaign that accomplishes its mission thanks to masterful use of its weapons sharp script solid performances and magical spectacle although it didnt completely steal my heart dd is deliciously delightful",fresh
"solid romp that is charming enough to elide those concerns crafting a personality that eludes a lot of other likeminded original fantasy films",fresh
"even while its relentlessly silly and sometimes flatout absurd theres warmly beating heart here that grabs viewers affection",fresh
"if you would like to flex your imagination little bit this ones a decent family entertainer with a wellcrafted blend of comedy and heart",fresh
"i get why you might not think its for you do you like laughing well then i promise its for you",fresh
"humour makes welcome return to fantasy genre",fresh
"honor among thieves is rare franchise for its new faces not overloading mythology while introducing new characters with blind trust ensemble that works perfectly full review in spanish",fresh
"cheaper chintzier version of this movie might have been as much fun as these actors appear to be having",rotten
"clearly work of love from its pair of directors and its one of best films of 2023",fresh
"superbly entertaining family film right amount of humour adventure charm and heart",fresh
"better than i thought it would be good story and fun characters with pretty great visuals a fun watch",fresh
"chris pine and michelle rodriguez have terrific buddymovie chemistry fantasy film that deftly balances highstakes action warm drama and clever comedy",fresh
"camp tone is tongueincheek and familyfriendly more shrek than assassins creed homage and affectionate parody equal parts",fresh
"directors jonathan goldstein and john francis daley have pulled together earnestly funny swordsandsorcery film worth adventuring out to see",fresh
"dungeons and dragons honor among thieves is rollicking great fantasy adventure",fresh
"dungeons and dragons honor among thieves is absolute blast of blockbuster it sets out to entertain its audience and completes that quest with wit and good cheer",fresh
"honor among thieves probably isnt destined to make my top10 list of 2023 movies but much its twohour and 14 minutes passed easily besides actors notably pine and rodriguez gave the movie enough heart grit and humor to ward off negative vibes",fresh
"film is almost playing catchup with itself",rotten
"dungeons dragons honor among thieves defines overachieving as cinematic experience that performs above expectations with impressive practical visual effects immersive fantasy world and charming likable underdog characters",fresh
